      Step     Time          Energy          fmax
BFGS:    5 16:49:40    -5853.378073        0.190727
BFGS:    6 16:49:40    -5853.380845        0.205371
BFGS:    7 16:49:40    -5853.386810        0.299406
BFGS:    8 16:49:40    -5853.394864        0.424093
BFGS:    9 16:49:40    -5853.404865        0.418406
BFGS:   10 16:49:40    -5853.416575        0.277044
BFGS:   11 16:49:40    -5853.421533        0.467707
BFGS:   12 16:49:40    -5853.426332        0.314065
BFGS:   13 16:49:40    -5853.429473        0.206129
BFGS:   14 16:49:40    -5853.431194        0.075094
BFGS:   15 16:49:40    -5853.431506        0.072985
BFGS:   16 16:49:40    -5853.432024        0.036763
      Step     Time          Energy          fmax
BFGS:    0 16:49:41    -3786.124763        1.279520
BFGS:    1 16:49:41    -3786.163902        0.596908
BFGS:    2 16:49:41    -3786.186725        0.519706
BFGS:    3 16:49:41    -3786.193686        0.340386
BFGS:    4 16:49:41    -3786.198084        0.115166
BFGS:    5 16:49:41    -3786.198531        0.085055
BFGS:    6 16:49:41    -3786.198828        0.086974
BFGS:    7 16:49:41    -3786.199095        0.090653
BFGS:    8 16:49:41    -3786.199568        0.089381
BFGS:    9 16:49:41    -3786.199933        0.066806
BFGS:   10 16:49:41    -3786.200074        0.019630
      Step     Time          Energy          fmax
BFGS:    0 16:49:42    -3804.846269        0.946050
BFGS:    1 16:49:42    -3804.866091        0.434757
BFGS:    2 16:49:42    -3804.876693        0.360988
BFGS:    3 16:49:42    -3804.880372        0.259077
BFGS:    4 16:49:42    -3804.882235        0.111263
BFGS:    5 16:49:42    -3804.882782        0.048625
      Step     Time          Energy          fmax
BFGS:    0 16:49:42    -1084.173193        0.238330
BFGS:    1 16:49:43    -1084.174726        0.210130
BFGS:    2 16:49:43    -1084.177346        0.149873
BFGS:    3 16:49:43    -1084.178795        0.189059
BFGS:    4 16:49:43    -1084.196760        0.414005
BFGS:    5 16:49:43    -1084.186094        0.241685
BFGS:    6 16:49:43    -1084.201988        0.254707
BFGS:    7 16:49:43    -1084.203287        0.184242
BFGS:    8 16:49:43    -1084.204721        0.020753
      Step     Time          Energy          fmax
BFGS:    0 16:49:43    -1103.017493        0.876440
BFGS:    1 16:49:43    -1103.041642        0.555678
BFGS:    2 16:49:44    -1103.054515        0.206970
BFGS:    3 16:49:44    -1103.056637        0.194002
BFGS:    4 16:49:44    -1103.059527        0.093507
BFGS:    5 16:49:44    -1103.059976        0.038013
      Step     Time          Energy          fmax
BFGS:    0 16:58:01     -124.484459        2.133509
BFGS:    1 16:58:02     -124.579681        1.347218
BFGS:    2 16:58:02     -124.628922        0.844194
BFGS:    3 16:58:02     -124.716713        0.934061
BFGS:    4 16:58:02     -124.745224        0.793444
BFGS:    5 16:58:02     -124.768799        0.419501
BFGS:    6 16:58:02     -124.785767        0.570562
BFGS:    7 16:58:02     -124.803543        0.521005
BFGS:    8 16:58:02     -124.819504        0.482753
BFGS:    9 16:58:02     -124.831741        0.305580
BFGS:   10 16:58:02     -124.838699        0.227774
BFGS:   11 16:58:02     -124.844154        0.244557
BFGS:   12 16:58:03     -124.852409        0.366502
BFGS:   13 16:58:03     -124.864799        0.515325
BFGS:   14 16:58:03     -124.877586        0.402662
BFGS:   15 16:58:03     -124.885033        0.440344
BFGS:   16 16:58:03     -124.887589        0.509797
BFGS:   17 16:58:03     -124.892471        0.153035
BFGS:   18 16:58:03     -124.895424        0.213694
BFGS:   19 16:58:03     -124.899948        0.222250
BFGS:   20 16:58:03     -124.902405        0.188937
BFGS:   21 16:58:03     -124.903915        0.121424
BFGS:   22 16:58:03     -124.904655        0.132717
BFGS:   23 16:58:03     -124.905937        0.132616
BFGS:   24 16:58:03     -124.908569        0.187248
BFGS:   25 16:58:03     -124.912758        0.177849
